name,so2_1h,no2_1h,co_8h,pm10_1h,o3_1h,pm10_24h,pm2_5_1h,actualized
Brno-Líšeň,,,,36.5,,23.2,15.1,2023-08-17 14:32:24.000000
Brno-Tuřany,4.3,1.0,,14.1,110.9,19.9,11.5,2023-08-17 14:32:24.000000
Brno-Arboretum,,5.9,,25.5,130.9,23.2,14.2,2023-08-17 14:32:24.000000
Brno-Úvoz (hot spot),,,399.0,29.3,,24.0,14.8,2023-08-17 14:32:24.000000
Brno-Tuřany,,,,,,19.9,0.0,2023-08-17 15:32:25.000000
Brno-Líšeň,,,,,,23.4,0.0,2023-08-17 15:32:25.000000
Brno-Komárov,,,,,,37.9,0.0,2023-08-17 15:32:25.000000
Brno-Svatoplukova,,,632.0,,,32.2,0.0,2023-08-17 15:32:25.000000
Brno - Dětská nemocnice,,,,,,22.8,0.0,2023-08-17 15:32:25.000000
Brno-Lány,,,333.0,,,31.3,0.0,2023-08-17 15:32:25.000000
Brno-Arboretum,,,,,,23.3,0.0,2023-08-17 15:32:25.000000
Brno-Úvoz (hot spot),,,399.0,,,24.1,0.0,2023-08-17 15:32:25.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-17 15:32:25.000000
Brno - Dětská nemocnice,,6.9,,25.5,109.3,23.5,11.2,2023-08-17 16:32:25.000000
Brno-Lány,6.7,15.5,320.0,23.7,92.8,31.1,12.0,2023-08-17 16:32:25.000000
Brno-Tuřany,3.7,1.0,,8.7,102.1,19.5,10.0,2023-08-17 16:32:25.000000
Brno-Arboretum,,6.5,,27.8,112.1,23.4,11.0,2023-08-17 16:32:26.000000
Brno-Úvoz (hot spot),,47.4,384.0,22.4,,24.2,11.2,2023-08-17 16:32:26.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-17 16:32:26.000000
Brno-Komárov,,11.7,,26.7,,37.5,11.5,2023-08-17 16:32:26.000000
Brno-Svatoplukova,,73.1,655.0,38.2,,32.5,11.1,2023-08-17 16:32:26.000000
Brno-Líšeň,,,,16.6,,23.4,13.6,2023-08-17 16:32:26.000000
Brno-Komárov,,,,,,38.1,0.0,2023-08-17 17:32:26.000000
Brno-Tuřany,,,,,,19.9,0.0,2023-08-17 17:32:26.000000
Brno-Úvoz (hot spot),,,373.0,,,24.3,0.0,2023-08-17 17:32:26.000000
Brno-Líšeň,,,,,,23.8,0.0,2023-08-17 17:32:26.000000
Brno-Lány,,,316.0,,,31.3,0.0,2023-08-17 17:32:26.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-17 17:32:26.000000
Brno-Svatoplukova,,,649.0,,,33.1,0.0,2023-08-17 17:32:26.000000
Brno - Dětská nemocnice,,,,,,23.6,0.0,2023-08-17 17:32:26.000000
Brno-Arboretum,,,,,,23.6,0.0,2023-08-17 17:32:26.000000
Brno-Svatoplukova,,,682.0,,,34.1,0.0,2023-08-17 18:32:26.000000
Brno - Dětská nemocnice,,,,,,23.8,0.0,2023-08-17 18:32:26.000000
Brno-Arboretum,,,,,,23.8,0.0,2023-08-17 18:32:26.000000
Brno-Lány,,,316.0,,,31.2,0.0,2023-08-17 18:32:26.000000
Brno-Líšeň,,,,,,23.7,0.0,2023-08-17 18:32:26.000000
Brno-Úvoz (hot spot),,,361.0,,,24.2,0.0,2023-08-17 18:32:26.000000
Brno-Komárov,,,,,,35.6,0.0,2023-08-17 18:32:26.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-17 18:32:26.000000
Brno-Tuřany,,,,,,19.6,0.0,2023-08-17 18:32:26.000000
Brno-Lány,,,316.0,,,30.3,0.0,2023-08-17 20:32:26.000000
Brno-Svatoplukova,,,699.0,,,32.3,0.0,2023-08-17 20:32:26.000000
Brno-Líšeň,,,,,,22.8,0.0,2023-08-17 20:32:26.000000
Brno - Dětská nemocnice,,,,,,22.9,0.0,2023-08-17 20:32:26.000000
Brno-Úvoz (hot spot),,,343.0,,,23.4,0.0,2023-08-17 20:32:26.000000
Brno-Komárov,,,,,,33.9,0.0,2023-08-17 20:32:26.000000
Brno-Tuřany,,,,,,18.6,0.0,2023-08-17 20:32:26.000000
Brno-Arboretum,,,,,,22.8,0.0,2023-08-17 20:32:26.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-17 20:32:26.000000
Brno-Arboretum,,,,,,22.3,0.0,2023-08-17 21:32:26.000000
Brno - Dětská nemocnice,,,,,,22.4,0.0,2023-08-17 21:32:26.000000
Brno-Úvoz (hot spot),,,334.0,,,22.8,0.0,2023-08-17 21:32:26.000000
Brno-Komárov,,,,,,32.3,0.0,2023-08-17 21:32:26.000000
Brno-Svatoplukova,,,682.0,,,31.2,0.0,2023-08-17 21:32:26.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-17 21:32:26.000000
Brno-Tuřany,,,,,,17.8,0.0,2023-08-17 21:32:26.000000
Brno-Lány,,,316.0,,,29.6,0.0,2023-08-17 21:32:26.000000
Brno-Líšeň,,,,,,22.4,0.0,2023-08-17 21:32:26.000000
Brno-Líšeň,,,,10.5,,21.4,4.0,2023-08-17 22:32:26.000000
Brno-Arboretum,,14.9,,8.9,78.4,21.0,5.9,2023-08-17 22:32:26.000000
Brno-Svatoplukova,,26.0,612.0,14.1,,29.6,8.3,2023-08-17 22:32:26.000000
Brno - Dětská nemocnice,,9.6,,7.4,74.0,21.5,6.6,2023-08-17 22:32:26.000000
Brno-Lány,6.1,37.3,320.0,38.9,33.5,29.4,33.8,2023-08-17 22:32:26.000000
Brno-Úvoz (hot spot),,20.1,327.0,11.5,,21.9,7.2,2023-08-17 22:32:26.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-17 22:32:26.000000
Brno-Komárov,,15.3,,11.4,,29.3,7.9,2023-08-17 22:32:26.000000
Brno-Tuřany,4.0,8.4,,12.4,64.8,17.0,5.1,2023-08-17 22:32:26.000000
Brno-Arboretum,,13.2,,9.8,72.4,20.3,6.1,2023-08-17 23:32:26.000000
Brno-Tuřany,4.3,9.6,,8.9,63.6,16.2,7.1,2023-08-17 23:32:26.000000
Brno-Úvoz (hot spot),,16.6,316.0,12.5,,21.3,7.1,2023-08-17 23:32:26.000000
Brno - Dětská nemocnice,,14.0,,7.0,61.8,21.0,4.0,2023-08-17 23:32:26.000000
Brno-Svatoplukova,,19.1,568.0,13.1,,28.7,8.6,2023-08-17 23:32:26.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-17 23:32:26.000000
Brno-Lány,5.9,39.4,335.0,17.0,29.1,29.0,12.4,2023-08-17 23:32:26.000000
Brno-Líšeň,,,,20.0,,21.2,5.2,2023-08-17 23:32:26.000000
Brno-Komárov,,9.6,,12.4,,28.5,8.2,2023-08-17 23:32:26.000000
Brno-Tuřany,,,,,,16.1,0.0,2023-08-18 00:32:26.000000
Brno - Dětská nemocnice,,,,,,20.9,0.0,2023-08-18 00:32:26.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 00:32:26.000000
Brno-Lány,,,350.0,,,29.0,0.0,2023-08-18 00:32:26.000000
Brno-Líšeň,,,,,,21.1,0.0,2023-08-18 00:32:26.000000
Brno-Arboretum,,,,,,20.2,0.0,2023-08-18 00:32:26.000000
Brno-Úvoz (hot spot),,,311.0,,,21.1,0.0,2023-08-18 00:32:26.000000
Brno-Svatoplukova,,,533.0,,,28.8,0.0,2023-08-18 00:32:26.000000
Brno-Komárov,,,,,,28.4,0.0,2023-08-18 00:32:26.000000
Brno-Arboretum,,14.3,,10.2,44.7,19.1,6.8,2023-08-18 02:32:27.000000
Brno-Líšeň,,,,8.5,,19.9,6.5,2023-08-18 02:32:27.000000
Brno-Lány,6.7,27.2,306.0,16.8,20.0,27.0,12.3,2023-08-18 02:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 02:32:27.000000
Brno-Tuřany,4.8,16.1,,8.3,,14.3,11.9,2023-08-18 02:32:27.000000
Brno-Komárov,,10.5,,14.9,,26.0,10.2,2023-08-18 02:32:27.000000
Brno-Úvoz (hot spot),,8.6,275.0,11.6,,20.0,6.6,2023-08-18 02:32:27.000000
Brno - Dětská nemocnice,,10.3,,16.7,36.9,19.7,8.4,2023-08-18 02:32:27.000000
Brno-Svatoplukova,,6.7,364.0,13.5,,27.3,10.1,2023-08-18 02:32:27.000000
Brno-Úvoz (hot spot),,,268.0,,,20.0,0.0,2023-08-18 03:32:27.000000
Brno-Lány,,,300.0,,,26.8,0.0,2023-08-18 03:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 03:32:27.000000
Brno-Tuřany,,,,,,14.0,0.0,2023-08-18 03:32:27.000000
Brno-Svatoplukova,,,333.0,,,27.4,0.0,2023-08-18 03:32:27.000000
Brno - Dětská nemocnice,,,,,,19.0,0.0,2023-08-18 03:32:27.000000
Brno-Líšeň,,,,,,19.8,0.0,2023-08-18 03:32:27.000000
Brno-Komárov,,,,,,26.1,0.0,2023-08-18 03:32:27.000000
Brno-Arboretum,,,,,,19.2,0.0,2023-08-18 03:32:27.000000
Brno-Arboretum,,,,,,18.8,0.0,2023-08-18 04:32:26.000000
Brno-Líšeň,,,,,,19.0,0.0,2023-08-18 04:32:26.000000
Brno-Komárov,,,,,,25.8,0.0,2023-08-18 04:32:26.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 04:32:26.000000
Brno - Dětská nemocnice,,,,,,18.2,0.0,2023-08-18 04:32:26.000000
Brno-Lány,,,283.0,,,26.2,0.0,2023-08-18 04:32:26.000000
Brno-Svatoplukova,,,316.0,,,26.9,0.0,2023-08-18 04:32:26.000000
Brno-Tuřany,,,,,,13.8,0.0,2023-08-18 04:32:26.000000
Brno-Úvoz (hot spot),,,259.0,,,19.8,0.0,2023-08-18 04:32:26.000000
Brno-Svatoplukova,,26.4,306.0,18.1,,26.0,12.6,2023-08-18 05:32:27.000000
Brno-Úvoz (hot spot),,17.8,256.0,13.9,,19.2,7.5,2023-08-18 05:32:27.000000
Brno-Líšeň,,,,8.7,,18.3,2.6,2023-08-18 05:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 05:32:27.000000
Brno-Tuřany,4.5,15.7,,21.1,24.1,13.7,6.5,2023-08-18 05:32:27.000000
Brno-Arboretum,,18.2,,26.4,19.4,18.8,20.8,2023-08-18 05:32:27.000000
Brno - Dětská nemocnice,,12.6,,13.3,20.7,17.8,8.8,2023-08-18 05:32:27.000000
Brno-Komárov,,22.0,,17.7,,25.1,12.5,2023-08-18 05:32:27.000000
Brno-Lány,5.9,20.9,262.0,17.7,10.4,25.2,12.7,2023-08-18 05:32:27.000000
Brno-Úvoz (hot spot),,22.4,264.0,13.9,,18.8,8.0,2023-08-18 06:32:27.000000
Brno - Dětská nemocnice,,21.6,,10.7,9.8,17.7,10.6,2023-08-18 06:32:27.000000
Brno-Lány,6.1,29.6,248.0,18.7,4.0,24.6,13.3,2023-08-18 06:32:27.000000
Brno-Líšeň,,,,12.2,,17.7,3.6,2023-08-18 06:32:27.000000
Brno-Komárov,,33.1,,21.9,,24.8,14.7,2023-08-18 06:32:27.000000
Brno-Arboretum,,20.1,,15.5,16.0,18.6,9.6,2023-08-18 06:32:27.000000
Brno-Svatoplukova,,37.7,320.0,23.5,,25.7,15.8,2023-08-18 06:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 06:32:27.000000
Brno-Tuřany,4.5,26.0,,21.2,5.6,13.9,6.7,2023-08-18 06:32:27.000000
Brno-Svatoplukova,,37.3,335.0,25.8,,25.4,17.3,2023-08-18 07:32:26.000000
Brno-Líšeň,,,,20.8,,17.9,13.2,2023-08-18 07:32:26.000000
Brno-Lány,6.1,18.2,233.0,21.2,21.3,24.2,14.4,2023-08-18 07:32:26.000000
Brno-Úvoz (hot spot),,25.1,274.0,14.9,,18.6,8.2,2023-08-18 07:32:26.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 07:32:26.000000
Brno-Arboretum,,18.9,,15.0,20.7,18.4,8.5,2023-08-18 07:32:26.000000
Brno-Tuřany,5.1,26.8,,20.2,13.6,14.1,16.0,2023-08-18 07:32:26.000000
Brno-Komárov,,28.9,,23.2,,24.2,13.3,2023-08-18 07:32:26.000000
Brno - Dětská nemocnice,,21.4,,12.9,15.0,17.9,8.0,2023-08-18 07:32:26.000000
Brno-Lány,7.2,13.0,233.0,20.0,38.7,23.9,13.5,2023-08-18 08:32:27.000000
Brno-Arboretum,,20.9,,19.1,28.9,18.2,9.3,2023-08-18 08:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 08:32:27.000000
Brno - Dětská nemocnice,,22.0,,28.2,20.7,17.8,9.4,2023-08-18 08:32:27.000000
Brno-Úvoz (hot spot),,29.8,288.0,17.2,,18.1,8.7,2023-08-18 08:32:27.000000
Brno-Líšeň,,,,24.2,,18.0,15.2,2023-08-18 08:32:27.000000
Brno-Svatoplukova,,37.9,350.0,23.8,,24.5,15.9,2023-08-18 08:32:27.000000
Brno-Tuřany,5.9,14.2,,22.9,39.3,14.0,12.4,2023-08-18 08:32:27.000000
Brno-Komárov,,29.1,,40.7,,23.1,12.3,2023-08-18 08:32:27.000000
Brno-Úvoz (hot spot),,38.8,308.0,16.5,,17.8,8.9,2023-08-18 09:32:27.000000
Brno - Dětská nemocnice,,16.8,,24.5,29.3,17.7,10.5,2023-08-18 09:32:27.000000
Brno-Komárov,,40.2,,52.9,,23.3,14.8,2023-08-18 09:32:27.000000
Brno-Tuřany,6.7,9.4,,15.3,55.5,13.9,10.3,2023-08-18 09:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 09:32:27.000000
Brno-Arboretum,,15.3,,21.1,43.5,17.9,9.3,2023-08-18 09:32:27.000000
Brno-Svatoplukova,,48.8,379.0,37.3,,23.7,14.9,2023-08-18 09:32:27.000000
Brno-Líšeň,,,,29.5,,18.3,20.9,2023-08-18 09:32:27.000000
Brno-Lány,7.7,16.3,233.0,23.4,40.1,23.4,13.6,2023-08-18 09:32:27.000000
Brno-Líšeň,,,,22.0,,18.4,18.8,2023-08-18 11:32:27.000000
Brno - Dětská nemocnice,,20.9,,21.6,66.0,17.0,11.3,2023-08-18 11:32:27.000000
Brno-Komárov,,18.9,,54.9,,24.6,15.7,2023-08-18 11:32:27.000000
Brno-Lány,7.5,21.8,262.0,38.2,60.4,23.4,12.7,2023-08-18 11:32:27.000000
Brno-Tuřany,5.1,2.1,,21.0,89.6,14.3,9.1,2023-08-18 11:32:27.000000
Brno-Arboretum,,15.9,,22.1,78.6,17.3,10.9,2023-08-18 11:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 11:32:27.000000
Brno-Svatoplukova,,41.9,451.0,30.4,,24.2,12.0,2023-08-18 11:32:27.000000
Brno-Úvoz (hot spot),,55.5,356.0,28.7,,17.5,11.6,2023-08-18 11:32:27.000000
Brno-Úvoz (hot spot),,47.2,378.0,26.2,,17.4,11.5,2023-08-18 12:32:27.000000
Brno-Lány,7.2,6.9,262.0,22.8,90.4,23.0,11.5,2023-08-18 12:32:27.000000
Brno-Komárov,,8.4,,24.6,,24.0,11.5,2023-08-18 12:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 12:32:27.000000
Brno-Arboretum,,7.8,,21.7,102.9,17.0,10.9,2023-08-18 12:32:27.000000
Brno - Dětská nemocnice,,7.7,,26.3,95.8,17.3,12.1,2023-08-18 12:32:27.000000
Brno-Líšeň,,,,14.7,,18.0,14.9,2023-08-18 12:32:27.000000
Brno-Tuřany,4.3,1.0,,13.8,97.8,14.0,7.0,2023-08-18 12:32:27.000000
Brno-Svatoplukova,,34.4,495.0,28.3,,24.0,11.5,2023-08-18 12:32:27.000000
Brno-Svatoplukova,,36.3,510.0,21.5,,23.4,11.8,2023-08-18 13:32:26.000000
Brno-Komárov,,9.4,,22.2,,23.2,12.2,2023-08-18 13:32:26.000000
Brno-Arboretum,,4.0,,19.5,111.5,16.7,11.9,2023-08-18 13:32:26.000000
Brno - Dětská nemocnice,,5.0,,23.6,103.1,17.3,19.1,2023-08-18 13:32:28.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 13:32:28.000000
Brno-Úvoz (hot spot),,,384.0,22.5,,17.1,12.1,2023-08-18 13:32:28.000000
Brno-Lány,7.2,4.8,248.0,20.1,97.8,22.5,12.4,2023-08-18 13:32:28.000000
Brno-Líšeň,,,,16.6,,16.8,15.5,2023-08-18 13:32:28.000000
Brno-Tuřany,4.5,1.0,,17.2,103.3,13.9,5.0,2023-08-18 13:32:28.000000
Brno - Dětská nemocnice,,3.8,,15.9,107.3,16.9,19.6,2023-08-18 14:32:27.000000
Brno-Komárov,,11.7,,19.0,,22.2,10.8,2023-08-18 14:32:27.000000
Brno-Lány,6.7,4.4,233.0,19.5,100.3,21.8,12.6,2023-08-18 14:32:27.000000
Brno-Úvoz (hot spot),,52.0,384.0,20.0,,16.7,12.1,2023-08-18 14:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 14:32:27.000000
Brno-Tuřany,4.3,1.0,,11.9,106.5,13.8,4.5,2023-08-18 14:32:27.000000
Brno-Svatoplukova,,36.2,524.0,22.8,,23.1,11.3,2023-08-18 14:32:27.000000
Brno-Arboretum,,3.3,,20.5,117.1,16.5,11.7,2023-08-18 14:32:27.000000
Brno-Líšeň,,,,22.4,,16.2,15.9,2023-08-18 14:32:27.000000
Brno-Tuřany,4.3,1.0,,11.8,112.3,13.7,7.3,2023-08-18 15:32:28.000000
Brno-Svatoplukova,,43.2,553.0,23.8,,23.0,11.5,2023-08-18 15:32:28.000000
Brno-Komárov,,14.0,,17.1,,22.0,10.0,2023-08-18 15:32:28.000000
Brno-Líšeň,,,,22.5,,16.1,8.0,2023-08-18 15:32:28.000000
Brno-Úvoz (hot spot),,45.0,377.0,19.2,,16.5,11.6,2023-08-18 15:32:28.000000
Brno - Dětská nemocnice,,5.9,,24.9,111.7,16.7,14.5,2023-08-18 15:32:28.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 15:32:28.000000
Brno-Lány,6.7,5.5,233.0,21.6,105.1,21.4,13.5,2023-08-18 15:32:28.000000
Brno-Arboretum,,5.0,,25.6,118.7,16.5,12.5,2023-08-18 15:32:28.000000
Brno-Lány,,,233.0,,,21.3,0.0,2023-08-18 16:32:28.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 16:32:28.000000
Brno - Dětská nemocnice,,,,,,16.4,0.0,2023-08-18 16:32:28.000000
Brno-Úvoz (hot spot),,,381.0,,,16.2,0.0,2023-08-18 16:32:28.000000
Brno-Svatoplukova,,,582.0,,,22.3,0.0,2023-08-18 16:32:28.000000
Brno-Arboretum,,,,,,16.0,0.0,2023-08-18 16:32:28.000000
Brno-Líšeň,,,,,,16.1,0.0,2023-08-18 16:32:28.000000
Brno-Komárov,,,,,,21.8,0.0,2023-08-18 16:32:28.000000
Brno-Tuřany,,,,,,13.9,0.0,2023-08-18 16:32:28.000000
Brno-Svatoplukova,,,616.0,,,21.1,0.0,2023-08-18 17:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 17:32:27.000000
Brno - Dětská nemocnice,,,,,,16.2,0.0,2023-08-18 17:32:27.000000
Brno-Komárov,,,,,,21.6,0.0,2023-08-18 17:32:27.000000
Brno-Lány,,,233.0,,,21.0,0.0,2023-08-18 17:32:27.000000
Brno-Tuřany,,,,,,14.0,0.0,2023-08-18 17:32:27.000000
Brno-Arboretum,,,,,,15.7,0.0,2023-08-18 17:32:27.000000
Brno-Líšeň,,,,,,16.2,0.0,2023-08-18 17:32:27.000000
Brno-Úvoz (hot spot),,,372.0,,,16.1,0.0,2023-08-18 17:32:27.000000
Brno-Arboretum,,,,,,16.0,0.0,2023-08-18 18:32:28.000000
Brno - Dětská nemocnice,,,,,,15.8,0.0,2023-08-18 18:32:28.000000
Brno-Úvoz (hot spot),,,344.0,,,15.9,0.0,2023-08-18 18:32:28.000000
Brno-Lány,,,216.0,,,21.0,0.0,2023-08-18 18:32:28.000000
Brno-Svatoplukova,,,616.0,,,21.3,0.0,2023-08-18 18:32:28.000000
Brno-Komárov,,,,,,21.7,0.0,2023-08-18 18:32:28.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 18:32:28.000000
Brno-Líšeň,,,,,,16.0,0.0,2023-08-18 18:32:28.000000
Brno-Tuřany,,,,,,14.1,0.0,2023-08-18 18:32:28.000000
Brno-Tuřany,3.7,4.6,,19.8,98.8,14.7,8.7,2023-08-18 19:32:28.000000
Brno-Úvoz (hot spot),,51.3,344.0,20.9,,16.3,12.6,2023-08-18 19:32:28.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 19:32:28.000000
Brno-Lány,6.4,10.9,233.0,22.3,102.1,21.2,14.2,2023-08-18 19:32:28.000000
Brno-Komárov,,15.1,,21.1,,21.9,12.5,2023-08-18 19:32:28.000000
Brno-Arboretum,,24.1,,17.2,73.8,16.8,12.2,2023-08-18 19:32:28.000000
Brno - Dětská nemocnice,,,,15.3,85.0,15.5,8.1,2023-08-18 19:32:28.000000
Brno-Líšeň,,,,24.0,,16.6,5.1,2023-08-18 19:32:28.000000
Brno-Svatoplukova,,46.3,626.0,29.0,,21.9,16.4,2023-08-18 19:32:28.000000
Brno-Líšeň,,,,,,16.9,0.0,2023-08-18 20:32:27.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 20:32:27.000000
Brno - Dětská nemocnice,,,,,,15.6,0.0,2023-08-18 20:32:27.000000
Brno-Tuřany,,,,,,14.8,0.0,2023-08-18 20:32:27.000000
Brno-Svatoplukova,,,632.0,,,22.3,0.0,2023-08-18 20:32:27.000000
Brno-Lány,,,233.0,,,21.5,0.0,2023-08-18 20:32:27.000000
Brno-Arboretum,,,,,,17.1,0.0,2023-08-18 20:32:27.000000
Brno-Komárov,,,,,,22.4,0.0,2023-08-18 20:32:27.000000
Brno-Úvoz (hot spot),,,332.0,,,16.7,0.0,2023-08-18 20:32:27.000000
Brno-Líšeň,,,,9.3,,16.8,17.1,2023-08-18 21:32:28.000000
Brno - Dětská nemocnice,,27.7,,26.7,44.3,16.5,14.6,2023-08-18 21:32:28.000000
Brno-Lány,6.4,33.1,306.0,26.7,47.3,22.1,18.4,2023-08-18 21:32:28.000000
Brno-Svatoplukova,,22.8,612.0,26.5,,22.9,18.0,2023-08-18 21:32:28.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 21:32:28.000000
Brno-Úvoz (hot spot),,36.3,344.0,22.8,,17.5,14.3,2023-08-18 21:32:28.000000
Brno-Tuřany,4.0,24.3,,13.7,34.3,15.4,11.0,2023-08-18 21:32:28.000000
Brno-Arboretum,,25.8,,20.6,42.1,17.7,14.9,2023-08-18 21:32:28.000000
Brno-Komárov,,10.5,,24.9,,23.0,15.4,2023-08-18 21:32:28.000000
Brno-Lány,,,333.0,,,21.4,0.0,2023-08-18 22:32:28.000000
Brno-Svatoplukova,,,616.0,,,23.3,0.0,2023-08-18 22:32:28.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 22:32:28.000000
Brno - Dětská nemocnice,,,,,,16.9,0.0,2023-08-18 22:32:28.000000
Brno-Arboretum,,,,,,18.1,0.0,2023-08-18 22:32:28.000000
Brno-Líšeň,,,,,,17.0,0.0,2023-08-18 22:32:28.000000
Brno-Tuřany,,,,,,15.5,0.0,2023-08-18 22:32:28.000000
Brno-Úvoz (hot spot),,,345.0,,,17.7,0.0,2023-08-18 22:32:28.000000
Brno-Komárov,,,,,,23.5,0.0,2023-08-18 22:32:28.000000
Brno-Svatoplukova,,16.1,568.0,24.5,,23.8,18.1,2023-08-18 23:32:29.000000
Brno-Arboretum,,21.4,,20.0,32.3,18.6,14.7,2023-08-18 23:32:29.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-18 23:32:29.000000
Brno-Úvoz (hot spot),,27.2,348.0,19.6,,18.2,13.7,2023-08-18 23:32:29.000000
Brno-Komárov,,20.9,,26.5,,24.1,17.8,2023-08-18 23:32:29.000000
Brno-Líšeň,,,,25.8,,17.1,12.5,2023-08-18 23:32:29.000000
Brno - Dětská nemocnice,,27.9,,21.9,25.1,17.7,24.1,2023-08-18 23:32:29.000000
Brno-Lány,6.1,60.8,350.0,27.2,3.2,22.0,20.6,2023-08-18 23:32:29.000000
Brno-Tuřany,4.0,17.4,,19.1,45.5,15.9,23.8,2023-08-18 23:32:29.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-19 00:32:29.000000
Brno-Arboretum,,,,,,18.9,0.0,2023-08-19 00:32:29.000000
Brno-Lány,,,366.0,,,22.4,0.0,2023-08-19 00:32:29.000000
Brno-Líšeň,,,,,,17.0,0.0,2023-08-19 00:32:29.000000
Brno-Svatoplukova,,,549.0,,,24.3,0.0,2023-08-19 00:32:29.000000
Brno-Úvoz (hot spot),,,350.0,,,18.4,0.0,2023-08-19 00:32:29.000000
Brno-Komárov,,,,,,24.6,0.0,2023-08-19 00:32:29.000000
Brno - Dětská nemocnice,,,,,,18.3,0.0,2023-08-19 00:32:29.000000
Brno-Tuřany,,,,,,16.2,0.0,2023-08-19 00:32:29.000000
Brno-Tuřany,4.0,23.7,,20.9,23.5,17.4,17.6,2023-08-19 01:32:29.000000
Brno-Lány,6.9,50.7,379.0,28.8,3.0,23.1,22.4,2023-08-19 01:32:29.000000
Brno-Svatoplukova,,9.2,495.0,24.7,,24.7,18.6,2023-08-19 01:32:29.000000
Brno-Líšeň,,,,32.0,,18.0,13.3,2023-08-19 01:32:29.000000
Brno - Dětská nemocnice,,11.7,,24.4,,18.7,14.4,2023-08-19 01:32:29.000000
Brno-Arboretum,,10.3,,18.8,36.7,19.2,13.5,2023-08-19 01:32:29.000000
Brno-Úvoz (hot spot),,15.9,344.0,19.6,,18.8,13.4,2023-08-19 01:32:29.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-19 01:32:29.000000
Brno-Komárov,,13.0,,24.3,,25.1,18.0,2023-08-19 01:32:29.000000
Brno - Dětská nemocnice,,,,,,18.8,0.0,2023-08-19 02:32:29.000000
Brno-Arboretum,,,,,,19.6,0.0,2023-08-19 02:32:29.000000
Brno-Lány,,,383.0,,,23.4,0.0,2023-08-19 02:32:29.000000
Brno-Svatoplukova,,,483.0,,,25.2,0.0,2023-08-19 02:32:29.000000
Brno-Komárov,,,,,,25.5,0.0,2023-08-19 02:32:29.000000
Brno-Tuřany,,,,,,17.8,0.0,2023-08-19 02:32:29.000000
Brno-Líšeň,,,,,,18.5,0.0,2023-08-19 02:32:29.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-19 02:32:29.000000
Brno-Úvoz (hot spot),,,344.0,,,19.1,0.0,2023-08-19 02:32:29.000000
Brno-Arboretum,,,,,,20.0,0.0,2023-08-19 03:32:29.000000
Brno-Tuřany,,,,,,18.3,0.0,2023-08-19 03:32:29.000000
Brno - Dětská nemocnice,,,,,,19.2,0.0,2023-08-19 03:32:29.000000
Brno-Svatoplukova,,,433.0,,,25.7,0.0,2023-08-19 03:32:29.000000
Brno-Líšeň,,,,,,19.5,0.0,2023-08-19 03:32:29.000000
Brno-Lány,,,366.0,,,24.1,0.0,2023-08-19 03:32:29.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-19 03:32:29.000000
Brno-Komárov,,,,,,25.9,0.0,2023-08-19 03:32:29.000000
Brno-Úvoz (hot spot),,,327.0,,,19.4,0.0,2023-08-19 03:32:29.000000
Brno-Arboretum,,13.0,,20.1,16.6,20.4,13.9,2023-08-19 04:32:29.000000
Brno-Výstaviště,,,,,,0.0,0.0,2023-08-19 04:32:29.000000
